Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,1337.7558095720572,,,,
,,,,baseline_eyes_closed_start,1001,1461.5013550377307,,,,
,,,,baseline_fixation_start,1002,1592.5675076127823,,,,
,,,,baseline_end,1003,1652.5786953822858,,,,
1.0,,,,block_start,4001,1653.5345822829433,,1653.5345822829433,,
1.0,1.0,,,trial_start,10,1653.5347204629434,,1653.5345822829433,,
1.0,1.0,,,left_cue,100,1655.5449510752233,,1653.5345822829433,,
1.0,1.0,left,,left_imagery_start,200,1657.561629532501,,1653.5345822829433,,
1.0,1.0,left,,rest_start,300,1661.5770695170627,,1653.5345822829433,,
1.0,1.0,left,,iti_start,400,1663.5932069503406,,1653.5345822829433,,
1.0,1.0,left,,trial_end,11,1665.7260999455764,,1653.5345822829433,,
1.0,2.0,,,trial_start,10,1665.7261952125764,,1653.5345822829433,,
1.0,2.0,,,left_cue,100,1667.742448102854,,1653.5345822829433,,
1.0,2.0,left,,left_imagery_start,200,1669.758698816132,,1653.5345822829433,,
1.0,2.0,left,,rest_start,300,1673.7749848846934,,1653.5345822829433,,
1.0,2.0,left,,iti_start,400,1675.7908386839713,,1653.5345822829433,,
1.0,2.0,left,,trial_end,11,1677.940597961201,,1653.5345822829433,,
1.0,3.0,,,trial_start,10,1677.9407335092012,,1653.5345822829433,,
1.0,3.0,,,right_cue,101,1679.956667826479,,1653.5345822829433,,
1.0,3.0,right,,right_imagery_start,201,1681.9730139747567,,1653.5345822829433,,
1.0,3.0,right,,rest_start,300,1685.9888294983182,,1653.5345822829433,,
1.0,3.0,right,,iti_start,400,1688.0056036575959,,1653.5345822829433,,
1.0,3.0,right,,trial_end,11,1690.104732350844,,1653.5345822829433,,
1.0,4.0,,,trial_start,10,1690.1048992878439,,1653.5345822829433,,
1.0,4.0,,,left_cue,100,1692.1210173431216,,1653.5345822829433,,
1.0,4.0,left,,left_imagery_start,200,1694.1372918953996,,1653.5345822829433,,
1.0,4.0,left,,rest_start,300,1698.153154967961,,1653.5345822829433,,
1.0,4.0,left,,iti_start,400,1700.1693876672387,,1653.5345822829433,,
1.0,4.0,left,,trial_end,11,1702.2865269724803,,1653.5345822829433,,
1.0,5.0,,,trial_start,10,1702.2867190704803,,1653.5345822829433,,
1.0,5.0,,,left_cue,100,1704.3021982907583,,1653.5345822829433,,
1.0,5.0,left,,left_imagery_start,200,1706.318236423036,,1653.5345822829433,,
1.0,5.0,left,,rest_start,300,1710.3341721825975,,1653.5345822829433,,
1.0,5.0,left,,iti_start,400,1712.3503224378755,,1653.5345822829433,,
1.0,5.0,left,,trial_end,11,1714.6332133430576,,1653.5345822829433,,
1.0,6.0,,,trial_start,10,1714.6333124790576,,1653.5345822829433,,
1.0,6.0,,,left_cue,100,1716.6496986453355,,1653.5345822829433,,
1.0,6.0,left,,left_imagery_start,200,1718.6657415766133,,1653.5345822829433,,
1.0,6.0,left,,rest_start,300,1722.6815065851747,,1653.5345822829433,,
1.0,6.0,left,,iti_start,400,1724.6984046284524,,1653.5345822829433,,
1.0,6.0,left,,trial_end,11,1726.7642693487123,,1653.5345822829433,,
1.0,7.0,,,trial_start,10,1726.7643891847122,,1653.5345822829433,,
1.0,7.0,,,right_cue,101,1728.7804101829902,,1653.5345822829433,,
1.0,7.0,right,,right_imagery_start,201,1730.7968702142678,,1653.5345822829433,,
1.0,7.0,right,,rest_start,300,1734.8124355018294,,1653.5345822829433,,
1.0,7.0,right,,iti_start,400,1736.8287530811072,,1653.5345822829433,,
1.0,7.0,right,,trial_end,11,1738.8949301173668,,1653.5345822829433,,
1.0,8.0,,,trial_start,10,1738.895053962367,,1653.5345822829433,,
1.0,8.0,,,left_cue,100,1740.9112468856447,,1653.5345822829433,,
1.0,8.0,left,,left_imagery_start,200,1742.9276415959223,,1653.5345822829433,,
1.0,8.0,left,,rest_start,300,1746.943317301484,,1653.5345822829433,,
1.0,8.0,left,,iti_start,400,1748.9597853467617,,1653.5345822829433,,
1.0,8.0,left,,trial_end,11,1750.9925428610336,,1653.5345822829433,,
1.0,9.0,,,trial_start,10,1750.9926340690336,,1653.5345822829433,,
1.0,9.0,,,right_cue,101,1753.0089267173112,,1653.5345822829433,,
1.0,9.0,right,,right_imagery_start,201,1755.0250941595891,,1653.5345822829433,,
1.0,9.0,right,,rest_start,300,1759.0410140091506,,1653.5345822829433,,
1.0,9.0,right,,iti_start,400,1761.0573208254284,,1653.5345822829433,,
1.0,9.0,right,,trial_end,11,1763.1734801586704,,1653.5345822829433,,
1.0,10.0,,,trial_start,10,1763.1735867666703,,1653.5345822829433,,
1.0,10.0,,,right_cue,101,1765.1898556589479,,1653.5345822829433,,
1.0,10.0,right,,right_imagery_start,201,1767.2066608852256,,1653.5345822829433,,
1.0,10.0,right,,rest_start,300,1771.2219824357871,,1653.5345822829433,,
1.0,10.0,right,,iti_start,400,1773.238220018065,,1653.5345822829433,,
1.0,10.0,right,,trial_end,11,1775.4378420692772,,1653.5345822829433,,
1.0,11.0,,,trial_start,10,1775.438027158277,,1653.5345822829433,,
1.0,11.0,,,left_cue,100,1777.454280777555,,1653.5345822829433,,
1.0,11.0,left,,left_imagery_start,200,1779.4705333238328,,1653.5345822829433,,
1.0,11.0,left,,rest_start,300,1783.4861782073942,,1653.5345822829433,,
1.0,11.0,left,,iti_start,400,1785.502438647672,,1653.5345822829433,,
1.0,11.0,left,,trial_end,11,1787.5519496499378,,1653.5345822829433,,
1.0,12.0,,,trial_start,10,1787.5520760559377,,1653.5345822829433,,
1.0,12.0,,,left_cue,100,1789.5685774492154,,1653.5345822829433,,
