Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,1093.2006889128388,,,,
,,,,baseline_eyes_closed_start,1001,1215.0499688219807,,,,
,,,,baseline_fixation_start,1002,1337.5778411103852,,,,
,,,,baseline_end,1003,1397.5809388755995,,,,
1.0,,,,block_start,4001,1399.2245018612352,,1399.2245018612352,,
1.0,1.0,,,trial_start,10,1399.2248192742354,,1399.2245018612352,,
1.0,1.0,,,left_cue,100,1401.2303206810113,,1399.2245018612352,,
1.0,1.0,left,,left_imagery_start,200,1403.2463616997914,,1399.2245018612352,,
1.0,1.0,left,,rest_start,300,1407.262163995345,,1399.2245018612352,,
1.0,1.0,left,,iti_start,400,1409.2784485491252,,1399.2245018612352,,
1.0,1.0,left,,trial_end,11,1411.5278290739952,,1399.2245018612352,,
1.0,2.0,,,trial_start,10,1411.5279307659953,,1399.2245018612352,,
1.0,2.0,,,left_cue,100,1413.5442098467754,,1399.2245018612352,,
1.0,2.0,left,,left_imagery_start,200,1415.5605429195555,,1399.2245018612352,,
1.0,2.0,left,,rest_start,300,1419.5763323941092,,1399.2245018612352,,
1.0,2.0,left,,iti_start,400,1421.5925495708893,,1399.2245018612352,,
1.0,2.0,left,,trial_end,11,1423.7588012587273,,1399.2245018612352,,
1.0,3.0,,,trial_start,10,1423.7589137727275,,1399.2245018612352,,
1.0,3.0,,,left_cue,100,1425.7750815145073,,1399.2245018612352,,
1.0,3.0,left,,left_imagery_start,200,1427.7913437872874,,1399.2245018612352,,
1.0,3.0,left,,rest_start,300,1431.8071020788411,,1399.2245018612352,,
1.0,3.0,left,,iti_start,400,1433.823470097621,,1399.2245018612352,,
1.0,3.0,left,,trial_end,11,1435.973060168453,,1399.2245018612352,,
1.0,4.0,,,trial_start,10,1435.973157931453,,1399.2245018612352,,
1.0,4.0,,,left_cue,100,1437.9894562732331,,1399.2245018612352,,
1.0,4.0,left,,left_imagery_start,200,1440.005663385013,,1399.2245018612352,,
1.0,4.0,left,,rest_start,300,1444.0218399705668,,1399.2245018612352,,
1.0,4.0,left,,iti_start,400,1446.0389089513471,,1399.2245018612352,,
1.0,4.0,left,,trial_end,11,1448.1371767371588,,1399.2245018612352,,
1.0,5.0,,,trial_start,10,1448.1372523461591,,1399.2245018612352,,
1.0,5.0,,,left_cue,100,1450.153430868939,,1399.2245018612352,,
1.0,5.0,left,,left_imagery_start,200,1452.1696373177192,,1399.2245018612352,,
1.0,5.0,left,,rest_start,300,1456.1855542472726,,1399.2245018612352,,
1.0,5.0,left,,iti_start,400,1458.201892607053,,1399.2245018612352,,
1.0,5.0,left,,trial_end,11,1460.4019337129039,,1399.2245018612352,,
1.0,6.0,,,trial_start,10,1460.4020600889041,,1399.2245018612352,,
1.0,6.0,,,left_cue,100,1462.418144206684,,1399.2245018612352,,
