Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,182866.41261898066,,,,
,,,,baseline_eyes_closed_start,1001,182993.22426364475,,,,
,,,,baseline_fixation_start,1002,183125.33065999486,,,,
,,,,baseline_end,1003,183185.33145773594,,,,
1.0,,,,block_start,4001,183191.65811671916,,183191.65811671916,,
1.0,1.0,,,trial_start,10,183191.65828411918,,183191.65811671916,,
1.0,1.0,,,left_cue,100,183193.66422151387,,183191.65811671916,,
1.0,1.0,left,,left_imagery_start,200,183195.66500100857,,183191.65811671916,,
1.0,1.0,left,,rest_start,300,183199.67793279793,,183191.65811671916,,
1.0,1.0,left,,iti_start,400,183201.68041089262,,183191.65811671916,,
1.0,1.0,left,,trial_end,11,183203.79889268702,,183191.65811671916,,
1.0,2.0,,,trial_start,10,183203.79898888702,,183191.65811671916,,
1.0,2.0,,,right_cue,101,183205.81476158169,,183191.65811671916,,
1.0,2.0,right,,right_imagery_start,201,183207.8153122764,,183191.65811671916,,
1.0,2.0,right,,rest_start,300,183211.83084096573,,183191.65811671916,,
1.0,2.0,right,,iti_start,400,183213.83209176044,,183191.65811671916,,
1.0,2.0,right,,trial_end,11,183215.88065275503,,183191.65811671916,,
1.0,3.0,,,trial_start,10,183215.88071955502,,183191.65811671916,,
1.0,3.0,,,left_cue,100,183217.88130564973,,183191.65811671916,,
1.0,3.0,left,,left_imagery_start,200,183219.88244604444,,183191.65811671916,,
1.0,3.0,left,,rest_start,300,183223.89742993377,,183191.65811671916,,
1.0,3.0,left,,iti_start,400,183225.91136132844,,183191.65811671916,,
1.0,3.0,left,,trial_end,11,183227.980835923,,183191.65811671916,,
1.0,4.0,,,trial_start,10,183227.98091042298,,183191.65811671916,,
1.0,4.0,,,right_cue,101,183229.98209971766,,183191.65811671916,,
1.0,4.0,right,,right_imagery_start,201,183231.99795501234,,183191.65811671916,,
1.0,4.0,right,,rest_start,300,183236.01505450168,,183191.65811671916,,
1.0,4.0,right,,iti_start,400,183238.0155902964,,183191.65811671916,,
1.0,4.0,right,,trial_end,11,183240.21073189058,,183191.65811671916,,
1.0,5.0,,,trial_start,10,183240.2109132906,,183191.65811671916,,
1.0,5.0,,,right_cue,101,183242.21405108526,,183191.65811671916,,
1.0,5.0,right,,right_imagery_start,201,183244.21449637998,,183191.65811671916,,
1.0,5.0,right,,rest_start,300,183248.22962656934,,183191.65811671916,,
1.0,5.0,right,,iti_start,400,183250.25056696398,,183191.65811671916,,
1.0,5.0,right,,trial_end,11,183252.41199155824,,183191.65811671916,,
1.0,6.0,,,trial_start,10,183252.41207685825,,183191.65811671916,,
1.0,6.0,,,right_cue,101,183254.41649755297,,183191.65811671916,,
1.0,6.0,right,,right_imagery_start,201,183256.42994734764,,183191.65811671916,,
1.0,6.0,right,,rest_start,300,183260.430676337,,183191.65811671916,,
1.0,6.0,right,,iti_start,400,183262.44680393167,,183191.65811671916,,
1.0,6.0,right,,trial_end,11,183264.58054902602,,183191.65811671916,,
1.0,7.0,,,trial_start,10,183264.58064032605,,183191.65811671916,,
1.0,7.0,,,right_cue,101,183266.59890012068,,183191.65811671916,,
1.0,7.0,right,,right_imagery_start,201,183268.61451551536,,183191.65811671916,,
1.0,7.0,right,,rest_start,300,183272.6292288047,,183191.65811671916,,
1.0,7.0,right,,iti_start,400,183274.64670449938,,183191.65811671916,,
1.0,7.0,right,,trial_end,11,183276.9435794933,,183191.65811671916,,
1.0,8.0,,,trial_start,10,183276.94366969328,,183191.65811671916,,
1.0,8.0,,,left_cue,100,183278.94871908796,,183191.65811671916,,
1.0,8.0,left,,left_imagery_start,200,183280.94967438266,,183191.65811671916,,
1.0,8.0,left,,rest_start,300,183284.96051197205,,183191.65811671916,,
1.0,8.0,left,,iti_start,400,183286.96334106676,,183191.65811671916,,
1.0,8.0,left,,trial_end,11,183289.02925186127,,183191.65811671916,,
1.0,9.0,,,trial_start,10,183289.0293075613,,183191.65811671916,,
1.0,9.0,,,left_cue,100,183291.029415156,,183191.65811671916,,
1.0,9.0,left,,left_imagery_start,200,183293.04660795064,,183191.65811671916,,
1.0,9.0,left,,rest_start,300,183297.06585723997,,183191.65811671916,,
