Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,263169.9298017569,,,,
,,,,baseline_eyes_closed_start,1001,263299.453853283,,,,
,,,,baseline_fixation_start,1002,263422.9652260988,,,,
,,,,baseline_end,1003,263482.97607300355,,,,
1.0,,,,block_start,4001,263492.45258572005,,263492.45258572005,,
1.0,1.0,,,trial_start,10,263492.4526971201,,263492.45258572005,,
1.0,1.0,,,left_cue,100,263494.45511752355,,263492.45258572005,,
1.0,1.0,left,,left_imagery_start,200,263496.46093772707,,263492.45258572005,,
1.0,1.0,left,,rest_start,300,263500.4710851341,,263492.45258572005,,
1.0,1.0,left,,iti_start,400,263502.4877205376,,263492.45258572005,,
1.0,1.0,left,,trial_end,11,263504.58900244127,,263492.45258572005,,
1.0,2.0,,,trial_start,10,263504.5891650413,,263492.45258572005,,
1.0,2.0,,,right_cue,101,263506.6053214448,,263492.45258572005,,
1.0,2.0,right,,right_imagery_start,201,263508.6055666483,,263492.45258572005,,
1.0,2.0,right,,rest_start,300,263512.6063679553,,263492.45258572005,,
1.0,2.0,right,,iti_start,400,263514.62240555877,,263492.45258572005,,
1.0,2.0,right,,trial_end,11,263516.77290956257,,263492.45258572005,,
1.0,3.0,,,trial_start,10,263516.77299766254,,263492.45258572005,,
1.0,3.0,,,right_cue,101,263518.78845756606,,263492.45258572005,,
1.0,3.0,right,,right_imagery_start,201,263520.78875636955,,263492.45258572005,,
1.0,3.0,right,,rest_start,300,263524.7898475765,,263492.45258572005,,
1.0,3.0,right,,iti_start,400,263526.80809338007,,263492.45258572005,,
1.0,3.0,right,,trial_end,11,263528.9369520838,,263492.45258572005,,
1.0,4.0,,,trial_start,10,263528.9370562838,,263492.45258572005,,
1.0,4.0,,,left_cue,100,263530.9390414873,,263492.45258572005,,
1.0,4.0,left,,left_imagery_start,200,263532.9546427908,,263492.45258572005,,
1.0,4.0,left,,rest_start,300,263536.95739339775,,263492.45258572005,,
1.0,4.0,left,,iti_start,400,263538.9611669013,,263492.45258572005,,
1.0,4.0,left,,trial_end,11,263541.0559214049,,263492.45258572005,,
1.0,5.0,,,trial_start,10,263541.05610840494,,263492.45258572005,,
1.0,5.0,,,right_cue,101,263543.0644396084,,263492.45258572005,,
1.0,5.0,right,,right_imagery_start,201,263545.070863412,,263492.45258572005,,
1.0,5.0,right,,rest_start,300,263549.07271751895,,263492.45258572005,,
1.0,5.0,right,,iti_start,400,263551.0906096225,,263492.45258572005,,
1.0,5.0,right,,trial_end,11,263553.102298226,,263492.45258572005,,
1.0,6.0,,,trial_start,10,263553.10237402597,,263492.45258572005,,
1.0,6.0,,,left_cue,100,263555.1049205295,,263492.45258572005,,
1.0,6.0,left,,left_imagery_start,200,263557.121181233,,263492.45258572005,,
1.0,6.0,left,,rest_start,300,263561.12151903997,,263492.45258572005,,
1.0,6.0,left,,iti_start,400,263563.1371550435,,263492.45258572005,,
1.0,6.0,left,,trial_end,11,263565.28772454726,,263492.45258572005,,
1.0,7.0,,,trial_start,10,263565.28779834724,,263492.45258572005,,
1.0,7.0,,,left_cue,100,263567.30458105076,,263492.45258572005,,
1.0,7.0,left,,left_imagery_start,200,263569.3241260543,,263492.45258572005,,
1.0,7.0,left,,rest_start,300,263573.3379618613,,263492.45258572005,,
