Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,2619.5208380714475,,,,
,,,,baseline_eyes_closed_start,1001,2742.183337540087,,,,
,,,,baseline_fixation_start,1002,2870.4652771118713,,,,
,,,,baseline_end,1003,2930.4698991454484,,,,
1.0,,,,block_start,4001,2946.43091805438,,2946.43091805438,,
1.0,1.0,,,trial_start,10,2946.43100755438,,2946.43091805438,,
1.0,1.0,,,left_cue,100,2948.436218155502,,2946.43091805438,,
1.0,1.0,left,,left_imagery_start,200,2950.4367903566217,,2946.43091805438,,
1.0,1.0,left,,rest_start,300,2954.4520846588684,,2946.43091805438,,
1.0,1.0,left,,iti_start,400,2956.452551659988,,2946.43091805438,,
1.0,1.0,left,,trial_end,11,2958.788269861295,,2946.43091805438,,
1.0,2.0,,,trial_start,10,2958.788338661295,,2946.43091805438,,
1.0,2.0,,,left_cue,100,2960.804442862423,,2946.43091805438,,
1.0,2.0,left,,left_imagery_start,200,2962.805675863543,,2946.43091805438,,
1.0,2.0,left,,rest_start,300,2966.8209145657897,,2946.43091805438,,
1.0,2.0,left,,iti_start,400,2968.8362568669177,,2946.43091805438,,
1.0,2.0,left,,trial_end,11,2970.938050268094,,2946.43091805438,,
1.0,3.0,,,trial_start,10,2970.938158668094,,2946.43091805438,,
1.0,3.0,,,right_cue,101,2972.9390404692135,,2946.43091805438,,
1.0,3.0,right,,right_imagery_start,201,2974.95191957034,,2946.43091805438,,
1.0,3.0,right,,rest_start,300,2978.9533199725793,,2946.43091805438,,
1.0,3.0,right,,iti_start,400,2980.969472273707,,2946.43091805438,,
1.0,3.0,right,,trial_end,11,2983.1358260749194,,2946.43091805438,,
1.0,4.0,,,trial_start,10,2983.1359261749194,,2946.43091805438,,
1.0,4.0,,,left_cue,100,2985.136039876039,,2946.43091805438,,
1.0,4.0,left,,left_imagery_start,200,2987.1389822771594,,2946.43091805438,,
1.0,4.0,left,,rest_start,300,2991.1525209794054,,2946.43091805438,,
1.0,4.0,left,,iti_start,400,2993.1688265805337,,2946.43091805438,,
1.0,4.0,left,,trial_end,11,2995.4029804817837,,2946.43091805438,,
1.0,5.0,,,trial_start,10,2995.403063481784,,2946.43091805438,,
1.0,5.0,,,right_cue,101,2997.419554482912,,2946.43091805438,,
1.0,5.0,right,,right_imagery_start,201,2999.4356436840408,,2946.43091805438,,
1.0,5.0,right,,rest_start,300,3003.4537286862887,,2946.43091805438,,
1.0,5.0,right,,iti_start,400,3005.4542150874086,,2946.43091805438,,
1.0,5.0,right,,trial_end,11,3007.635362288629,,2946.43091805438,,
1.0,6.0,,,trial_start,10,3007.635423488629,,2946.43091805438,,
1.0,6.0,,,left_cue,100,3009.637549989749,,2946.43091805438,,
1.0,6.0,left,,left_imagery_start,200,3011.6517850908763,,2946.43091805438,,
1.0,6.0,left,,rest_start,300,3015.6536010931154,,2946.43091805438,,
1.0,6.0,left,,iti_start,400,3017.6686425942435,,2946.43091805438,,
1.0,6.0,left,,trial_end,11,3019.769169395419,,2946.43091805438,,
1.0,7.0,,,trial_start,10,3019.769243095419,,2946.43091805438,,
1.0,7.0,,,right_cue,101,3021.769411896538,,2946.43091805438,,
1.0,7.0,right,,right_imagery_start,201,3023.7701968976576,,2946.43091805438,,
1.0,7.0,right,,rest_start,300,3027.785351199904,,2946.43091805438,,
1.0,7.0,right,,iti_start,400,3029.7874353010247,,2946.43091805438,,
1.0,7.0,right,,trial_end,11,3031.9673737022445,,2946.43091805438,,
1.0,8.0,,,trial_start,10,3031.9674368022447,,2946.43091805438,,
1.0,8.0,,,right_cue,101,3033.9691937033645,,2946.43091805438,,
1.0,8.0,right,,right_imagery_start,201,3035.971416804485,,2946.43091805438,,
1.0,8.0,right,,rest_start,300,3039.984997706731,,2946.43091805438,,
1.0,8.0,right,,iti_start,400,3041.9892350078526,,2946.43091805438,,
1.0,8.0,right,,trial_end,11,3044.1192406090445,,2946.43091805438,,
1.0,9.0,,,trial_start,10,3044.1193187090444,,2946.43091805438,,
1.0,9.0,,,left_cue,100,3046.1204273101644,,2946.43091805438,,
1.0,9.0,left,,left_imagery_start,200,3048.1383649112936,,2946.43091805438,,
1.0,9.0,left,,rest_start,300,3052.1538256135404,,2946.43091805438,,
1.0,9.0,left,,iti_start,400,3054.170861514669,,2946.43091805438,,
1.0,9.0,left,,trial_end,11,3056.31695721587,,2946.43091805438,,
1.0,10.0,,,trial_start,10,3056.3170205158704,,2946.43091805438,,
1.0,10.0,,,left_cue,100,3058.31813161699,,2946.43091805438,,
1.0,10.0,left,,left_imagery_start,200,3060.31933041811,,2946.43091805438,,
1.0,10.0,left,,rest_start,300,3064.3356834203573,,2946.43091805438,,
1.0,10.0,left,,iti_start,400,3066.351007221485,,2946.43091805438,,
1.0,10.0,left,,trial_end,11,3068.501526722688,,2946.43091805438,,
1.0,11.0,,,trial_start,10,3068.501597322688,,2946.43091805438,,
1.0,11.0,,,right_cue,101,3070.5021890238077,,2946.43091805438,,
1.0,11.0,right,,right_imagery_start,201,3072.5024518249274,,2946.43091805438,,
1.0,11.0,right,,rest_start,300,3076.5180649271742,,2946.43091805438,,
1.0,11.0,right,,iti_start,400,3078.518514328294,,2946.43091805438,,
1.0,11.0,right,,trial_end,11,3080.7010014295147,,2946.43091805438,,
1.0,12.0,,,trial_start,10,3080.701061829515,,2946.43091805438,,
1.0,12.0,,,right_cue,101,3082.719410030644,,2946.43091805438,,
1.0,12.0,right,,right_imagery_start,201,3084.733721631772,,2946.43091805438,,
1.0,12.0,right,,rest_start,300,3088.7360110340114,,2946.43091805438,,
1.0,12.0,right,,iti_start,400,3090.7499051351383,,2946.43091805438,,
1.0,12.0,right,,trial_end,11,3092.7861642362773,,2946.43091805438,,
1.0,13.0,,,trial_start,10,3092.7862316362775,,2946.43091805438,,
1.0,13.0,,,right_cue,101,3094.802647537406,,2946.43091805438,,
1.0,13.0,right,,right_imagery_start,201,3096.8193754385343,,2946.43091805438,,
1.0,13.0,right,,rest_start,300,3100.8350007407817,,2946.43091805438,,
1.0,13.0,right,,iti_start,400,3102.836351141901,,2946.43091805438,,
1.0,13.0,right,,trial_end,11,3105.052129043141,,2946.43091805438,,
1.0,14.0,,,trial_start,10,3105.0521979431414,,2946.43091805438,,
1.0,14.0,,,right_cue,101,3107.066066444268,,2946.43091805438,,
1.0,14.0,right,,right_imagery_start,201,3109.067744445388,,2946.43091805438,,
1.0,14.0,right,,rest_start,300,3113.084831147636,,2946.43091805438,,
1.0,14.0,right,,iti_start,400,3115.1014732487647,,2946.43091805438,,
1.0,14.0,right,,trial_end,11,3117.133657549902,,2946.43091805438,,
1.0,15.0,,,trial_start,10,3117.133781049902,,2946.43091805438,,
1.0,15.0,,,left_cue,100,3119.1494022510296,,2946.43091805438,,
1.0,15.0,left,,left_imagery_start,200,3121.1504666521496,,2946.43091805438,,
1.0,15.0,left,,rest_start,300,3125.1692171543987,,2946.43091805438,,
1.0,15.0,left,,iti_start,400,3127.1845856555265,,2946.43091805438,,
1.0,15.0,left,,trial_end,11,3129.3335417567287,,2946.43091805438,,
1.0,16.0,,,trial_start,10,3129.333604256729,,2946.43091805438,,
1.0,16.0,,,right_cue,101,3131.333788057848,,2946.43091805438,,
1.0,16.0,right,,right_imagery_start,201,3133.3345254589676,,2946.43091805438,,
1.0,16.0,right,,rest_start,300,3137.350615261215,,2946.43091805438,,
1.0,16.0,right,,iti_start,400,3139.367010762343,,2946.43091805438,,
1.0,16.0,right,,trial_end,11,3141.652243163622,,2946.43091805438,,
1.0,17.0,,,trial_start,10,3141.652366663622,,2946.43091805438,,
1.0,17.0,,,right_cue,101,3143.66804506475,,2946.43091805438,,
1.0,17.0,right,,right_imagery_start,201,3145.6830951658776,,2946.43091805438,,
1.0,17.0,right,,rest_start,300,3149.7006310681254,,2946.43091805438,,
1.0,17.0,right,,iti_start,400,3151.7034084692464,,2946.43091805438,,
1.0,17.0,right,,trial_end,11,3154.0004480705315,,2946.43091805438,,
1.0,18.0,,,trial_start,10,3154.0005153705315,,2946.43091805438,,
1.0,18.0,,,right_cue,101,3156.0168842716603,,2946.43091805438,,
1.0,18.0,right,,right_imagery_start,201,3158.033875872789,,2946.43091805438,,
1.0,18.0,right,,rest_start,300,3162.0500385750365,,2946.43091805438,,
1.0,18.0,right,,iti_start,400,3164.0516857761563,,2946.43091805438,,
1.0,18.0,right,,trial_end,11,3166.286332277407,,2946.43091805438,,
1.0,19.0,,,trial_start,10,3166.286532877407,,2946.43091805438,,
1.0,19.0,,,right_cue,101,3168.3003975785336,,2946.43091805438,,
1.0,19.0,right,,right_imagery_start,201,3170.3178427796624,,2946.43091805438,,
1.0,19.0,right,,rest_start,300,3174.335659681911,,2946.43091805438,,
1.0,19.0,right,,iti_start,400,3176.3506293830387,,2946.43091805438,,
1.0,19.0,right,,trial_end,11,3178.4997777842414,,2946.43091805438,,
1.0,20.0,,,trial_start,10,3178.4999828842415,,2946.43091805438,,
1.0,20.0,,,left_cue,100,3180.51641718537,,2946.43091805438,,
1.0,20.0,left,,left_imagery_start,200,3182.519690986491,,2946.43091805438,,
1.0,20.0,left,,rest_start,300,3186.532079288736,,2946.43091805438,,
1.0,20.0,left,,iti_start,400,3188.535841189857,,2946.43091805438,,
1.0,20.0,left,,trial_end,11,3190.5499171909846,,2946.43091805438,,
1.0,21.0,,,trial_start,10,3190.550025590984,,2946.43091805438,,
1.0,21.0,,,left_cue,100,3192.5502689921036,,2946.43091805438,,
1.0,21.0,left,,left_imagery_start,200,3194.5668609932322,,2946.43091805438,,
1.0,21.0,left,,rest_start,300,3198.5830505954796,,2946.43091805438,,
1.0,21.0,left,,iti_start,400,3200.598056896607,,2946.43091805438,,
1.0,21.0,left,,trial_end,11,3202.751250797812,,2946.43091805438,,
1.0,22.0,,,trial_start,10,3202.751311697812,,2946.43091805438,,
1.0,22.0,,,left_cue,100,3204.766460098939,,2946.43091805438,,
1.0,22.0,left,,left_imagery_start,200,3206.783223600068,,2946.43091805438,,
1.0,22.0,left,,rest_start,300,3210.7993905023154,,2946.43091805438,,
1.0,22.0,left,,iti_start,400,3212.7994767034343,,2946.43091805438,,
1.0,22.0,left,,trial_end,11,3214.89959020461,,2946.43091805438,,
1.0,23.0,,,trial_start,10,3214.89968480461,,2946.43091805438,,
1.0,23.0,,,left_cue,100,3216.916841205739,,2946.43091805438,,
1.0,23.0,left,,left_imagery_start,200,3218.9326409068663,,2946.43091805438,,
