Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,2742.312730791597,,,,
,,,,baseline_eyes_closed_start,1001,2870.799041619125,,,,
,,,,baseline_fixation_start,1002,2996.3592377960244,,,,
,,,,baseline_end,1003,3056.3671500564305,,,,
1.0,,,,block_start,4001,3059.376616628106,,3059.376616628106,,
1.0,1.0,,,trial_start,10,3059.3767455001066,,3059.376616628106,,
1.0,1.0,,,right_cue,101,3061.3829216892227,,3059.376616628106,,
1.0,1.0,right,,right_imagery_start,201,3063.399159977346,,3059.376616628106,,
1.0,1.0,right,,rest_start,300,3067.4150745445813,,3059.376616628106,,
1.0,1.0,right,,iti_start,400,3069.4313398377035,,3059.376616628106,,
1.0,1.0,right,,trial_end,11,3071.447627964826,,3059.376616628106,,
1.0,2.0,,,trial_start,10,3071.4477320018264,,3059.376616628106,,
1.0,2.0,,,left_cue,100,3073.4641446439487,,3059.376616628106,,
1.0,2.0,left,,left_imagery_start,200,3075.480250685071,,3059.376616628106,,
1.0,2.0,left,,rest_start,300,3079.4961002953064,,3059.376616628106,,
1.0,2.0,left,,iti_start,400,3081.512391584429,,3059.376616628106,,
1.0,2.0,left,,trial_end,11,3083.6286813256074,,3059.376616628106,,
1.0,3.0,,,trial_start,10,3083.6287946106077,,3059.376616628106,,
1.0,3.0,,,left_cue,100,3085.6448986597297,,3059.376616628106,,
1.0,3.0,left,,left_imagery_start,200,3087.6614128078522,,3059.376616628106,,
1.0,3.0,left,,rest_start,300,3091.6771160760877,,3059.376616628106,,
1.0,3.0,left,,iti_start,400,3093.6933961202103,,3059.376616628106,,
1.0,3.0,left,,trial_end,11,3095.926319987453,,3059.376616628106,,
1.0,4.0,,,trial_start,10,3095.9264236844533,,3059.376616628106,,
1.0,4.0,,,left_cue,100,3097.9426210955758,,3059.376616628106,,
1.0,4.0,left,,left_imagery_start,200,3099.9588725896983,,3059.376616628106,,
1.0,4.0,left,,rest_start,300,3103.974724424934,,3059.376616628106,,
1.0,4.0,left,,iti_start,400,3105.990971359056,,3059.376616628106,,
1.0,4.0,left,,trial_end,11,3108.2906964743365,,3059.376616628106,,
1.0,5.0,,,trial_start,10,3108.2908173063365,,3059.376616628106,,
1.0,5.0,,,right_cue,101,3110.306798798459,,3059.376616628106,,
1.0,5.0,right,,right_imagery_start,201,3112.3231690915813,,3059.376616628106,,
1.0,5.0,right,,rest_start,300,3116.3391924178172,,3059.376616628106,,
1.0,5.0,right,,iti_start,400,3118.3553586939397,,3059.376616628106,,
1.0,5.0,right,,trial_end,11,3120.521578171146,,3059.376616628106,,
1.0,6.0,,,trial_start,10,3120.521652217146,,3059.376616628106,,
1.0,6.0,,,left_cue,100,3122.537909122268,,3059.376616628106,,
1.0,6.0,left,,left_imagery_start,200,3124.55414822739,,3059.376616628106,,
1.0,6.0,left,,rest_start,300,3128.5700199736257,,3059.376616628106,,
1.0,6.0,left,,iti_start,400,3130.5864019167484,,3059.376616628106,,
1.0,6.0,left,,trial_end,11,3132.703072490927,,3059.376616628106,,
1.0,7.0,,,trial_start,10,3132.7031938949267,,3059.376616628106,,
1.0,7.0,,,left_cue,100,3134.718874446049,,3059.376616628106,,
1.0,7.0,left,,left_imagery_start,200,3136.735603249172,,3059.376616628106,,
1.0,7.0,left,,rest_start,300,3140.750955985407,,3059.376616628106,,
1.0,7.0,left,,iti_start,400,3142.7673573715297,,3059.376616628106,,
1.0,7.0,left,,trial_end,11,3145.06722114081,,3059.376616628106,,
1.0,8.0,,,trial_start,10,3145.0673370528098,,3059.376616628106,,
1.0,8.0,,,right_cue,101,3147.0832968339323,,3059.376616628106,,
1.0,8.0,right,,right_imagery_start,201,3149.099631320055,,3059.376616628106,,
1.0,8.0,right,,rest_start,300,3153.1154789082907,,3059.376616628106,,
1.0,8.0,right,,iti_start,400,3155.131716580413,,3059.376616628106,,
1.0,8.0,right,,trial_end,11,3157.164846612545,,3059.376616628106,,
1.0,9.0,,,trial_start,10,3157.164970665545,,3059.376616628106,,
1.0,9.0,,,left_cue,100,3159.181054210667,,3059.376616628106,,
1.0,9.0,left,,left_imagery_start,200,3161.197157591789,,3059.376616628106,,
1.0,9.0,left,,rest_start,300,3165.2135776040254,,3059.376616628106,,
1.0,9.0,left,,iti_start,400,3167.229400615148,,3059.376616628106,,
1.0,9.0,left,,trial_end,11,3169.329351691317,,3059.376616628106,,
1.0,10.0,,,trial_start,10,3169.329423656317,,3059.376616628106,,
1.0,10.0,,,left_cue,100,3171.3455809624393,,3059.376616628106,,
1.0,10.0,left,,left_imagery_start,200,3173.3615500145615,,3059.376616628106,,
1.0,10.0,left,,rest_start,300,3177.377710252797,,3059.376616628106,,
1.0,10.0,left,,iti_start,400,3179.3937542369194,,3059.376616628106,,
1.0,10.0,left,,trial_end,11,3181.476720640079,,3059.376616628106,,
1.0,11.0,,,trial_start,10,3181.4768353610793,,3059.376616628106,,
1.0,11.0,,,left_cue,100,3183.4930793622016,,3059.376616628106,,
1.0,11.0,left,,left_imagery_start,200,3185.5096765773246,,3059.376616628106,,
1.0,11.0,left,,rest_start,300,3189.52534702156,,3059.376616628106,,
1.0,11.0,left,,iti_start,400,3191.5414608176825,,3059.376616628106,,
1.0,11.0,left,,trial_end,11,3193.707902614888,,3059.376616628106,,
1.0,12.0,,,trial_start,10,3193.708111596888,,3059.376616628106,,
1.0,12.0,,,right_cue,101,3195.724028922011,,3059.376616628106,,
1.0,12.0,right,,right_imagery_start,201,3197.740848386133,,3059.376616628106,,
1.0,12.0,right,,rest_start,300,3201.7562203203684,,3059.376616628106,,
1.0,12.0,right,,iti_start,400,3203.772461915491,,3059.376616628106,,
1.0,12.0,right,,trial_end,11,3205.9886645667248,,3059.376616628106,,
1.0,13.0,,,trial_start,10,3205.988736992725,,3059.376616628106,,
1.0,13.0,,,right_cue,101,3208.0049093468474,,3059.376616628106,,
1.0,13.0,right,,right_imagery_start,201,3210.0212735449695,,3059.376616628106,,
1.0,13.0,right,,rest_start,300,3214.0374044052055,,3059.376616628106,,
1.0,13.0,right,,iti_start,400,3216.053542386328,,3059.376616628106,,
