Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,267915.56711021654,,,,
,,,,baseline_eyes_closed_start,1001,268053.3505148982,,,,
,,,,baseline_fixation_start,1002,268177.17652629176,,,,
,,,,baseline_end,1003,268237.1782795402,,,,
1.0,,,,block_start,4001,268238.9200995387,,268238.9200995387,,
1.0,1.0,,,trial_start,10,268238.92017983866,,268238.9200995387,,
1.0,1.0,,,right_cue,101,268240.92887573695,,268238.9200995387,,
1.0,1.0,right,,right_imagery_start,201,268242.9461406352,,268238.9200995387,,
1.0,1.0,right,,rest_start,300,268246.96055173175,,268238.9200995387,,
1.0,1.0,right,,iti_start,400,268248.9632075301,,268238.9200995387,,
1.0,1.0,right,,trial_end,11,268251.1007200282,,268238.9200995387,,
1.0,2.0,,,trial_start,10,268251.1008310282,,268238.9200995387,,
1.0,2.0,,,right_cue,101,268253.11154722644,,268238.9200995387,,
1.0,2.0,right,,right_imagery_start,201,268255.1294304248,,268238.9200995387,,
1.0,2.0,right,,rest_start,300,268259.1440791213,,268238.9200995387,,
1.0,2.0,right,,iti_start,400,268261.1603757196,,268238.9200995387,,
1.0,2.0,right,,trial_end,11,268263.2439985178,,268238.9200995387,,
1.0,3.0,,,trial_start,10,268263.2440705178,,268238.9200995387,,
1.0,3.0,,,left_cue,100,268265.261498416,,268238.9200995387,,
1.0,3.0,left,,left_imagery_start,200,268267.2674564143,,268238.9200995387,,
1.0,3.0,left,,rest_start,300,268271.27861471084,,268238.9200995387,,
1.0,3.0,left,,iti_start,400,268273.2952447091,,268238.9200995387,,
1.0,3.0,left,,trial_end,11,268275.4451223073,,268238.9200995387,,
1.0,4.0,,,trial_start,10,268275.4452917073,,268238.9200995387,,
1.0,4.0,,,right_cue,101,268277.4529777056,,268238.9200995387,,
1.0,4.0,right,,right_imagery_start,201,268279.4603521038,,268238.9200995387,,
1.0,4.0,right,,rest_start,300,268283.47899430036,,268238.9200995387,,
1.0,4.0,right,,iti_start,400,268285.49311809865,,268238.9200995387,,
1.0,4.0,right,,trial_end,11,268287.5682989969,,268238.9200995387,,
1.0,5.0,,,trial_start,10,268287.56837209687,,268238.9200995387,,
1.0,5.0,,,left_cue,100,268289.5779583951,,268238.9200995387,,
1.0,5.0,left,,left_imagery_start,200,268291.5936678934,,268238.9200995387,,
1.0,5.0,left,,rest_start,300,268295.59534808993,,268238.9200995387,,
1.0,5.0,left,,iti_start,400,268297.59862098825,,268238.9200995387,,
1.0,5.0,left,,trial_end,11,268299.7606728864,,268238.9200995387,,
1.0,6.0,,,trial_start,10,268299.7607537864,,268238.9200995387,,
1.0,6.0,,,left_cue,100,268301.7805767847,,268238.9200995387,,
1.0,6.0,left,,left_imagery_start,200,268303.79997028294,,268238.9200995387,,
1.0,6.0,left,,rest_start,300,268307.8100496795,,268238.9200995387,,
1.0,6.0,left,,iti_start,400,268309.8274241777,,268238.9200995387,,
1.0,6.0,left,,trial_end,11,268311.9445429759,,268238.9200995387,,
1.0,7.0,,,trial_start,10,268311.94495127595,,268238.9200995387,,
1.0,7.0,,,left_cue,100,268313.96654887416,,268238.9200995387,,
1.0,7.0,left,,left_imagery_start,200,268315.9768691724,,268238.9200995387,,
1.0,7.0,left,,rest_start,300,268319.979384269,,268238.9200995387,,
1.0,7.0,left,,iti_start,400,268321.99199036724,,268238.9200995387,,
1.0,7.0,left,,trial_end,11,268324.1981587654,,268238.9200995387,,
1.0,8.0,,,trial_start,10,268324.1982534654,,268238.9200995387,,
1.0,8.0,,,right_cue,101,268326.21382846363,,268238.9200995387,,
1.0,8.0,right,,right_imagery_start,201,268328.2279190619,,268238.9200995387,,
1.0,8.0,right,,rest_start,300,268332.2308417585,,268238.9200995387,,
1.0,8.0,right,,iti_start,400,268334.23204385675,,268238.9200995387,,
1.0,8.0,right,,trial_end,11,268336.27590795496,,268238.9200995387,,
1.0,9.0,,,trial_start,10,268336.27597805497,,268238.9200995387,,
1.0,9.0,,,right_cue,101,268338.27685455326,,268238.9200995387,,
1.0,9.0,right,,right_imagery_start,201,268340.2790180515,,268238.9200995387,,
1.0,9.0,right,,rest_start,300,268344.28295434813,,268238.9200995387,,
1.0,9.0,right,,iti_start,400,268346.29389964644,,268238.9200995387,,
1.0,9.0,right,,trial_end,11,268348.3587029446,,268238.9200995387,,
1.0,10.0,,,trial_start,10,268348.3587655446,,268238.9200995387,,
