Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,86739.64538967753,,,,
,,,,baseline_eyes_closed_start,1001,86864.22612926712,,,,
,,,,baseline_fixation_start,1002,86989.02296665737,,,,
,,,,baseline_end,1003,87049.02803234501,,,,
1.0,,,,block_start,4001,87061.0461245826,,87061.0461245826,,
1.0,1.0,,,trial_start,10,87061.04620918259,,87061.0461245826,,
1.0,1.0,,,right_cue,101,87063.0597056889,,87061.0461245826,,
1.0,1.0,right,,right_imagery_start,201,87065.0744703952,,87061.0461245826,,
1.0,1.0,right,,rest_start,300,87069.07789030772,,87061.0461245826,,
1.0,1.0,right,,iti_start,400,87071.09294771402,,87061.0461245826,,
1.0,1.0,right,,trial_end,11,87073.27444732084,,87061.0461245826,,
1.0,2.0,,,trial_start,10,87073.27458462084,,87061.0461245826,,
1.0,2.0,,,left_cue,100,87075.27585622709,,87061.0461245826,,
1.0,2.0,left,,left_imagery_start,200,87077.2907790334,,87061.0461245826,,
1.0,2.0,left,,rest_start,300,87081.2909669459,,87061.0461245826,,
1.0,2.0,left,,iti_start,400,87083.29270475217,,87061.0461245826,,
1.0,2.0,left,,trial_end,11,87085.7068207597,,87061.0461245826,,
1.0,3.0,,,trial_start,10,87085.70688675971,,87061.0461245826,,
1.0,3.0,,,right_cue,101,87087.70805926596,,87061.0461245826,,
1.0,3.0,right,,right_imagery_start,201,87089.70897957223,,87061.0461245826,,
1.0,3.0,right,,rest_start,300,87093.72332048479,,87061.0461245826,,
1.0,3.0,right,,iti_start,400,87095.72521289103,,87061.0461245826,,
1.0,3.0,right,,trial_end,11,87097.90637699787,,87061.0461245826,,
1.0,4.0,,,trial_start,10,87097.90644059786,,87061.0461245826,,
1.0,4.0,,,right_cue,101,87099.91131150414,,87061.0461245826,,
1.0,4.0,right,,right_imagery_start,201,87101.92462651042,,87061.0461245826,,
1.0,4.0,right,,rest_start,300,87105.94033132299,,87061.0461245826,,
1.0,4.0,right,,iti_start,400,87107.94145952923,,87061.0461245826,,
1.0,4.0,right,,trial_end,11,87110.07498373592,,87061.0461245826,,
1.0,5.0,,,trial_start,10,87110.07506243592,,87061.0461245826,,
1.0,5.0,,,left_cue,100,87112.09237804222,,87061.0461245826,,
1.0,5.0,left,,left_imagery_start,200,87114.10820444854,,87061.0461245826,,
1.0,5.0,left,,rest_start,300,87118.12300486107,,87061.0461245826,,
1.0,5.0,left,,iti_start,400,87120.12382346734,,87061.0461245826,,
1.0,5.0,left,,trial_end,11,87122.20783097386,,87061.0461245826,,
1.0,6.0,,,trial_start,10,87122.20789377386,,87061.0461245826,,
1.0,6.0,,,left_cue,100,87124.20919498011,,87061.0461245826,,
1.0,6.0,left,,left_imagery_start,200,87126.2227763864,,87061.0461245826,,
1.0,6.0,left,,rest_start,300,87130.22481399892,,87061.0461245826,,
1.0,6.0,left,,iti_start,400,87132.24321220524,,87061.0461245826,,
1.0,6.0,left,,trial_end,11,87134.49199901227,,87061.0461245826,,
1.0,7.0,,,trial_start,10,87134.49208261227,,87061.0461245826,,
1.0,7.0,,,right_cue,101,87136.49244781853,,87061.0461245826,,
1.0,7.0,right,,right_imagery_start,201,87138.50794782482,,87061.0461245826,,
1.0,7.0,right,,rest_start,300,87142.50909203735,,87061.0461245826,,
1.0,7.0,right,,iti_start,400,87144.52359334365,,87061.0461245826,,
1.0,7.0,right,,trial_end,11,87146.77481705067,,87061.0461245826,,
1.0,8.0,,,trial_start,10,87146.77489115068,,87061.0461245826,,
1.0,8.0,,,left_cue,100,87148.77611485693,,87061.0461245826,,
1.0,8.0,left,,left_imagery_start,200,87150.79033106322,,87061.0461245826,,
1.0,8.0,left,,rest_start,300,87154.80689697579,,87061.0461245826,,
1.0,8.0,left,,iti_start,400,87156.8254968821,,87061.0461245826,,
