Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,704.0045915118219,,,,
,,,,baseline_eyes_closed_start,1001,828.0789541941313,,,,
,,,,baseline_fixation_start,1002,954.7723129730326,,,,
,,,,baseline_end,1003,1014.7754016257807,,,,
1.0,,,,block_start,4001,1019.9482459150001,,1019.9482459150001,,
1.0,1.0,,,trial_start,10,1019.9483446160002,,1019.9482459150001,,
1.0,1.0,,,left_cue,100,1021.9573408669203,,1019.9482459150001,,
1.0,1.0,left,,left_imagery_start,200,1023.9735687938365,,1019.9482459150001,,
1.0,1.0,left,,rest_start,300,1027.989461989678,,1019.9482459150001,,
1.0,1.0,left,,iti_start,400,1030.0057043905942,,1019.9482459150001,,
1.0,1.0,left,,trial_end,11,1032.2053889474118,,1019.9482459150001,,
1.0,2.0,,,trial_start,10,1032.205476189412,,1019.9482459150001,,
1.0,2.0,,,left_cue,100,1034.2215609553282,,1019.9482459150001,,
1.0,2.0,left,,left_imagery_start,200,1036.2379543292443,,1019.9482459150001,,
1.0,2.0,left,,rest_start,300,1040.253708812086,,1019.9482459150001,,
1.0,2.0,left,,iti_start,400,1042.269955527002,,1019.9482459150001,,
1.0,2.0,left,,trial_end,11,1044.5195487317928,,1019.9482459150001,,
1.0,3.0,,,trial_start,10,1044.519651600793,,1019.9482459150001,,
1.0,3.0,,,left_cue,100,1046.5357907197092,,1019.9482459150001,,
1.0,3.0,left,,left_imagery_start,200,1048.5521931136252,,1019.9482459150001,,
1.0,3.0,left,,rest_start,300,1052.5680828834668,,1019.9482459150001,,
1.0,3.0,left,,iti_start,400,1054.5842468203832,,1019.9482459150001,,
1.0,3.0,left,,trial_end,11,1056.7838105072008,,1019.9482459150001,,
1.0,4.0,,,trial_start,10,1056.783912145201,,1019.9482459150001,,
1.0,4.0,,,left_cue,100,1058.800139565117,,1019.9482459150001,,
1.0,4.0,left,,left_imagery_start,200,1060.8163050530334,,1019.9482459150001,,
1.0,4.0,left,,rest_start,300,1064.8322319018748,,1019.9482459150001,,
1.0,4.0,left,,iti_start,400,1066.848470685791,,1019.9482459150001,,
1.0,4.0,left,,trial_end,11,1069.0314213216177,,1019.9482459150001,,
1.0,5.0,,,trial_start,10,1069.0315314126176,,1019.9482459150001,,
1.0,5.0,,,right_cue,101,1071.0477936515338,,1019.9482459150001,,
1.0,5.0,right,,right_imagery_start,201,1073.06401279245,,1019.9482459150001,,
1.0,5.0,right,,rest_start,300,1077.0797907952917,,1019.9482459150001,,
1.0,5.0,right,,iti_start,400,1079.0961507542079,,1019.9482459150001,,
1.0,5.0,right,,trial_end,11,1081.2624209350433,,1019.9482459150001,,
1.0,6.0,,,trial_start,10,1081.2625482570434,,1019.9482459150001,,
1.0,6.0,,,right_cue,101,1083.2784825609597,,1019.9482459150001,,
1.0,6.0,right,,right_imagery_start,201,1085.294839793876,,1019.9482459150001,,
1.0,6.0,right,,rest_start,300,1089.3107124307173,,1019.9482459150001,,
1.0,6.0,right,,iti_start,400,1091.3269730356337,,1019.9482459150001,,
1.0,6.0,right,,trial_end,11,1093.676472498371,,1019.9482459150001,,
1.0,7.0,,,trial_start,10,1093.6765550913706,,1019.9482459150001,,
1.0,7.0,,,right_cue,101,1095.692736695287,,1019.9482459150001,,
1.0,7.0,right,,right_imagery_start,201,1097.7090363692034,,1019.9482459150001,,
1.0,7.0,right,,rest_start,300,1101.7249071950446,,1019.9482459150001,,
1.0,7.0,right,,iti_start,400,1103.741179381961,,1019.9482459150001,,
1.0,7.0,right,,trial_end,11,1105.7907785308594,,1019.9482459150001,,
1.0,8.0,,,trial_start,10,1105.7908782218592,,1019.9482459150001,,
1.0,8.0,,,left_cue,100,1107.8070057467755,,1019.9482459150001,,
1.0,8.0,left,,left_imagery_start,200,1109.8232446636919,,1019.9482459150001,,
1.0,8.0,left,,rest_start,300,1113.8390923775335,,1019.9482459150001,,
1.0,8.0,left,,iti_start,400,1115.8553760584496,,1019.9482459150001,,
1.0,8.0,left,,trial_end,11,1118.0550413952672,,1019.9482459150001,,
1.0,9.0,,,trial_start,10,1118.055129165267,,1019.9482459150001,,
1.0,9.0,,,right_cue,101,1120.0714024091835,,1019.9482459150001,,
1.0,9.0,right,,right_imagery_start,201,1122.0874885980998,,1019.9482459150001,,
1.0,9.0,right,,rest_start,300,1126.103421893941,,1019.9482459150001,,
1.0,9.0,right,,iti_start,400,1128.1195710448574,,1019.9482459150001,,
1.0,9.0,right,,trial_end,11,1130.252495724711,,1019.9482459150001,,
1.0,10.0,,,trial_start,10,1130.2525695417107,,1019.9482459150001,,
1.0,10.0,,,left_cue,100,1132.2688581976272,,1019.9482459150001,,
1.0,10.0,left,,left_imagery_start,200,1134.2851175495434,,1019.9482459150001,,
1.0,10.0,left,,rest_start,300,1138.3009721493847,,1019.9482459150001,,
1.0,10.0,left,,iti_start,400,1140.317317082301,,1019.9482459150001,,
1.0,10.0,left,,trial_end,11,1142.3835896851904,,1019.9482459150001,,
1.0,11.0,,,trial_start,10,1142.3837110581903,,1019.9482459150001,,
1.0,11.0,,,right_cue,101,1144.3999021771067,,1019.9482459150001,,
