Block,Trial,MI_Label,KSS,Event,Marker,Time_lsl,Wall_time,Block_Start_lsl,Block_End_lsl,RT_ms
,,,,baseline_eyes_open_start,1000,86231.08208518558,,,,
,,,,baseline_eyes_closed_start,1001,86363.38104507908,,,,
,,,,baseline_fixation_start,1002,86494.34555737265,,,,
,,,,baseline_end,1003,86554.3589526697,,,,
1.0,,,,block_start,4001,86567.21413796907,,86567.21413796907,,
1.0,1.0,,,trial_start,10,86567.21423966908,,86567.21413796907,,
1.0,1.0,,,right_cue,101,86569.22430106897,,86567.21413796907,,
1.0,1.0,right,,right_imagery_start,201,86571.24204796887,,86567.21413796907,,
1.0,1.0,right,,rest_start,300,86575.25990586868,,86567.21413796907,,
1.0,1.0,right,,iti_start,400,86577.27477186857,,86567.21413796907,,
1.0,1.0,right,,trial_end,11,86579.39524426847,,86567.21413796907,,
1.0,2.0,,,trial_start,10,86579.39534716848,,86567.21413796907,,
1.0,2.0,,,right_cue,101,86581.40785146838,,86567.21413796907,,
1.0,2.0,right,,right_imagery_start,201,86583.41024076827,,86567.21413796907,,
1.0,2.0,right,,rest_start,300,86587.42247636808,,86567.21413796907,,
1.0,2.0,right,,iti_start,400,86589.42327146798,,86567.21413796907,,
1.0,2.0,right,,trial_end,11,86591.65912746786,,86567.21413796907,,
1.0,3.0,,,trial_start,10,86591.65925336786,,86567.21413796907,,
1.0,3.0,,,right_cue,101,86593.66375316777,,86567.21413796907,,
1.0,3.0,right,,right_imagery_start,201,86595.67189156768,,86567.21413796907,,
1.0,3.0,right,,rest_start,300,86599.67457466747,,86567.21413796907,,
1.0,3.0,right,,iti_start,400,86601.69156696736,,86567.21413796907,,
1.0,3.0,right,,trial_end,11,86603.80826026727,,86567.21413796907,,
1.0,4.0,,,trial_start,10,86603.80833186727,,86567.21413796907,,
1.0,4.0,,,right_cue,101,86605.81564416717,,86567.21413796907,,
1.0,4.0,right,,right_imagery_start,201,86607.82270116708,,86567.21413796907,,
1.0,4.0,right,,rest_start,300,86611.84106206687,,86567.21413796907,,
1.0,4.0,right,,iti_start,400,86613.84315386678,,86567.21413796907,,
1.0,4.0,right,,trial_end,11,86616.02459816667,,86567.21413796907,,
1.0,5.0,,,trial_start,10,86616.02465886666,,86567.21413796907,,
1.0,5.0,,,right_cue,101,86618.02531436656,,86567.21413796907,,
1.0,5.0,right,,right_imagery_start,201,86620.03972016646,,86567.21413796907,,
1.0,5.0,right,,rest_start,300,86624.04716196627,,86567.21413796907,,
1.0,5.0,right,,iti_start,400,86626.05412906618,,86567.21413796907,,
1.0,5.0,right,,trial_end,11,86628.12286626607,,86567.21413796907,,
1.0,6.0,,,trial_start,10,86628.12294016607,,86567.21413796907,,
1.0,6.0,,,right_cue,101,86630.12608186596,,86567.21413796907,,
1.0,6.0,right,,right_imagery_start,201,86632.13988816588,,86567.21413796907,,
1.0,6.0,right,,rest_start,300,86636.15613606568,,86567.21413796907,,
1.0,6.0,right,,iti_start,400,86638.15828356557,,86567.21413796907,,
1.0,6.0,right,,trial_end,11,86640.42608406548,,86567.21413796907,,
1.0,7.0,,,trial_start,10,86640.42621836548,,86567.21413796907,,
1.0,7.0,,,right_cue,101,86642.44139676538,,86567.21413796907,,
1.0,7.0,right,,right_imagery_start,201,86644.45818526528,,86567.21413796907,,
1.0,7.0,right,,rest_start,300,86648.47290836507,,86567.21413796907,,
1.0,7.0,right,,iti_start,400,86650.47342516498,,86567.21413796907,,
1.0,7.0,right,,trial_end,11,86652.57484436488,,86567.21413796907,,
1.0,8.0,,,trial_start,10,86652.57492566489,,86567.21413796907,,
1.0,8.0,,,right_cue,101,86654.59068806478,,86567.21413796907,,
1.0,8.0,right,,right_imagery_start,201,86656.60814206468,,86567.21413796907,,
1.0,8.0,right,,rest_start,300,86660.62879416447,,86567.21413796907,,
1.0,8.0,right,,iti_start,400,86662.64168526439,,86567.21413796907,,
1.0,8.0,right,,trial_end,11,86664.75748556429,,86567.21413796907,,
1.0,9.0,,,trial_start,10,86664.75757796428,,86567.21413796907,,
1.0,9.0,,,left_cue,100,86666.77264226419,,86567.21413796907,,
1.0,9.0,left,,left_imagery_start,200,86668.77503556407,,86567.21413796907,,
1.0,9.0,left,,rest_start,300,86672.79081686388,,86567.21413796907,,
1.0,9.0,left,,iti_start,400,86674.79192466379,,86567.21413796907,,
1.0,9.0,left,,trial_end,11,86677.02103416367,,86567.21413796907,,
1.0,10.0,,,trial_start,10,86677.02112696368,,86567.21413796907,,
1.0,10.0,,,left_cue,100,86679.02195316357,,86567.21413796907,,
1.0,10.0,left,,left_imagery_start,200,86681.02284576348,,86567.21413796907,,
1.0,10.0,left,,rest_start,300,86685.03917276328,,86567.21413796907,,
1.0,10.0,left,,iti_start,400,86687.04019896318,,86567.21413796907,,
1.0,10.0,left,,trial_end,11,86689.17344566308,,86567.21413796907,,
1.0,11.0,,,trial_start,10,86689.17353186308,,86567.21413796907,,
1.0,11.0,,,right_cue,101,86691.17407526297,,86567.21413796907,,
1.0,11.0,right,,right_imagery_start,201,86693.17458776289,,86567.21413796907,,
